,city,company_full_names,company_name,create_time,positionId,positionName,salary,salary_max,salary_min,comp_id,city_id,pos_class
997,北京,北京畅游天下网络技术有限公司,畅游,2018-04-20,4071789,Python运维开发工程师,20k-25k,25000,20000,215,20,普通
998,北京,北京瑞友科技股份有限公司,北京瑞友,2018-04-19,4447906,Python后端开发,10k-15k,15000,10000,444,20,普通
999,重庆,成都云数海量信息科技有限公司,云数海量,2018-05-04,559817,Python,7k-14k,14000,7000,373,9,普通
1000,北京,北京墨云科技有限公司,墨云科技,2018-05-02,3545394,Python后端开发工程师,15k-30k,30000,15000,271,20,普通
1001,深圳,顺丰科技有限公司,顺丰科技有限公司,2018-05-02,4229699,Python开发,20k-30k,30000,20000,407,19,普通
1002,北京,北京春雨天下软件有限公司,春雨移动健康,2018-04-27,2182008,Python,20k-40k,40000,20000,681,20,普通
1003,合肥,安徽世豪网络科技有限公司,Boss金服,2018-04-23,4467987,Python开发师,4k-8k,8000,4000,92,15,普通
1004,成都,成都博云科技有限公司,深圳博瑞得,2018-05-03,4243492,Python运维开发工程师,8k-15k,15000,8000,950,35,普通
1005,上海,上海润客投资控股有限公司,上海润客投资控股有限公司,2018-05-02,4175886,Python数据开发工程师,7k-14k,14000,7000,1031,22,普通
1006,上海,北京众标网络科技有限公司上海分公司,众标网络科技,2018-05-02,2635147,python开发工程师,15k-20k,20000,15000,33,22,普通
1007,成都,成都比奥互联科技有限责任公司,比奥互联,2018-05-04,4522574,Python后端API开发工程师,4k-8k,8000,4000,931,35,普通
1008,广州,广州逗号智能零售有限公司,逗号智能零售,2018-05-04,4122785,Python应用工程师（业务系统方向）,10k-18k,18000,10000,489,12,普通
1009,北京,北京微步在线科技有限公司,微步在线,2018-05-04,3894260,python开发工程师,15k-25k,25000,15000,736,20,普通
1010,北京,北京优锐科技有限公司,优锐科技,2018-05-03,4511688,后端 Python 工程师,15k-30k,30000,15000,906,20,普通
1011,广州,江苏传智播客教育科技有限公司广州分公司,传智播客广州分校,2018-05-02,4203415,Python助教,11k-18k,18000,11000,300,12,普通
1012,深圳,智言科技(深圳)有限公司,Webot,2018-05-04,4238204,高级python开发工程师/专家,15k-30k,30000,15000,354,19,高级
1013,北京,北京奥鹏远程教育中心有限公司,慕课网,2018-05-04,4164766,Python讲师,10k-20k,20000,10000,941,20,普通
1014,北京,北京传智播客教育科技有限公司,传智播客,2018-05-03,4511707,Python就业指导老师(J10736),10k-15k,15000,10000,644,20,普通
1015,北京,北京联宇益通科技发展有限公司,联宇益通,2018-05-02,4507313,Python研发工程师,10k-20k,20000,10000,601,20,普通
1016,上海,沪江教育科技（上海）股份有限公司,沪江,2018-05-04,3901922,python架构师,30k-40k,40000,30000,559,22,高级
1017,上海,平安科技（深圳）有限公司,平安科技,2018-05-04,4184905,Python开发工程师（上海）,15k-30k,30000,15000,336,22,普通
1018,北京,三只肥猴（北京）信息技术有限公司,三只肥猴,2018-05-03,4390493,Python工程师,5k-7k,7000,5000,689,20,普通
1019,深圳,深圳淘乐网络科技有限公司,淘乐网络,2018-05-02,3511478,python开发（游戏客户端）,5k-9k,9000,5000,541,19,普通
1020,深圳,深圳市中企工联保家电服务有限公司,中国联保,2018-04-12,3433023,Python 工程师,5k-10k,10000,5000,478,19,普通
1021,上海,上海司睿杰建筑科技有限公司,司睿杰建科,2018-04-09,2823912,python开发工程师,10k-15k,15000,10000,939,22,普通
